model,task,method,ASR_100,ASR_300,ASR_500,ASR_800,ASR_1000,ASR_2000,ASR_3000
codebert,CC,wir,15.619047619047619,21.714285714285715,22.095238095238095,22.285714285714285,22.285714285714285,22.285714285714285,22.285714285714285
codebert,CC,wir_DMAP,19.80952380952381,22.095238095238095,22.666666666666664,22.666666666666664,22.666666666666664,22.666666666666664,22.666666666666664
codebert,CC,rnns,5.714285714285714,20.38095238095238,28.952380952380953,32.95238095238095,34.476190476190474,36.57142857142857,36.57142857142857
codebert,CC,rnns_DMAP,9.904761904761905,28.76190476190476,33.14285714285714,36.38095238095238,36.57142857142857,37.333333333333336,37.333333333333336
codet5,VP,alert,29.901356350184955,75.33908754623921,82.98397040690506,84.95684340320592,85.26510480887794,85.57336621454994,85.63501849568435
codet5,VP,alert_DMAP,50.43156596794082,81.6892725030826,84.3403205918619,84.95684340320592,85.08014796547472,85.14180024660912,85.14180024660912
codet5,VP,wir,59.4944512946979,89.33415536374845,91.06041923551172,91.36868064118372,91.43033292231813,91.49198520345253,91.49198520345253
codet5,VP,wir_DMAP,72.07151664611591,90.6905055487053,91.98520345252774,92.23181257706536,92.29346485819975,92.35511713933415,92.35511713933415
codet5,VP,rnns,12.762022194821206,71.27003699136868,82.05918618988902,85.63501849568435,86.25154130702836,86.99136868064117,86.99136868064117
codet5,VP,rnns_DMAP,28.42170160295931,77.31196054254006,84.0937114673243,85.51171393341554,85.81997533908755,85.88162762022195,85.88162762022195
codet5,CD,alert,8.869294605809129,10.91804979253112,11.981327800829876,13.511410788381742,14.393153526970954,16.182572614107883,16.62344398340249
codet5,CD,alert_DMAP,9.751037344398341,12.370331950207468,14.28941908713693,15.274896265560168,15.79356846473029,16.54564315352697,16.59751037344398
codet5,CD,wir,4.330912863070539,20.539419087136928,24.351659751037342,25.077800829875518,25.077800829875518,25.077800829875518,25.077800829875518
codet5,CD,wir_DMAP,11.177385892116183,24.29979253112033,24.79253112033195,24.79253112033195,24.79253112033195,24.79253112033195,24.79253112033195
codet5,CD,rnns,0.3630705394190871,16.727178423236513,27.800829875518673,34.10269709543569,35.65871369294606,38.22614107883817,38.48547717842324
codet5,CD,rnns_DMAP,4.1753112033195015,25.648340248962654,33.37655601659751,36.981327800829874,37.52593360995851,38.07053941908713,38.09647302904564
codet5,DP,alert,28.5250631085467,69.78002163721601,78.5250631085467,81.50018031013343,82.07717273710783,82.34763793725207,82.34763793725207
codet5,DP,alert_DMAP,44.861161197259285,77.17273710782547,80.32816444284168,80.85106382978722,80.85106382978722,80.85106382978722,80.85106382978722
codet5,DP,wir,47.18716191849982,89.77641543454742,90.29931482149297,90.31734583483592,90.31734583483592,90.31734583483592,90.31734583483592
codet5,DP,wir_DMAP,65.09195816804905,89.00108186080058,89.01911287414353,89.03714388748648,89.03714388748648,89.03714388748648,89.03714388748648
codet5,DP,rnns,0.18031013342949875,31.06743598990263,63.48719798052651,87.4864767399928,91.63360980887127,93.32852506310854,93.34655607645149
codet5,DP,rnns_DMAP,1.3162639740353408,60.27767760548143,88.98305084745762,92.37288135593221,92.49909844933285,92.49909844933285,92.49909844933285
codet5,CC,alert,20.19047619047619,32.19047619047619,36.38095238095238,40.0,41.523809523809526,45.52380952380952,46.095238095238095
codet5,CC,alert_DMAP,27.42857142857143,37.142857142857146,41.714285714285715,44.0,44.761904761904766,45.904761904761905,46.476190476190474
codet5,CC,wir,32.19047619047619,42.66666666666667,44.0,44.0,44.0,44.19047619047619,44.19047619047619
codet5,CC,wir_DMAP,39.42857142857143,44.38095238095238,44.38095238095238,44.38095238095238,44.761904761904766,44.761904761904766,44.761904761904766
codet5,CC,rnns,14.666666666666666,48.0,56.76190476190476,61.523809523809526,62.857142857142854,64.57142857142857,65.9047619047619
codet5,CC,rnns_DMAP,29.142857142857142,56.57142857142857,62.095238095238095,64.38095238095238,64.57142857142857,65.9047619047619,66.0952380952381
graphcodebert,VP,alert,11.440426793123889,48.48844101956135,58.09128630705395,62.537048014226436,63.36692353289863,64.31535269709543,64.67101363366923
graphcodebert,VP,alert_DMAP,26.437462951985776,57.08358032009484,62.477771191464136,63.66330764671013,64.01896858328394,64.55245998814463,64.61173681090693
graphcodebert,VP,wir,31.653823355068166,57.61707172495554,61.23295791345584,62.06283343212804,62.24066390041494,62.537048014226436,62.537048014226436
graphcodebert,VP,wir_DMAP,41.197391819798455,59.98814463544754,61.88500296384114,62.477771191464136,62.537048014226436,62.596324836988735,62.596324836988735
graphcodebert,VP,rnns,5.809128630705394,40.48606994665086,55.18672199170125,64.84884410195613,68.04979253112033,71.48784825133373,71.84350918790753
graphcodebert,VP,rnns_DMAP,14.641375222288087,52.222880853586254,63.95969176052163,69.29460580912863,70.00592768227622,70.95435684647303,71.01363366923533
graphcodebert,CD,alert,0.6720082708710261,2.9723442750064617,4.36805376066167,5.7379167743603,6.901008012406306,7.417937451537865,7.443783923494443
graphcodebert,CD,alert_DMAP,1.6283277332644095,4.6006720082708705,6.384078573274748,7.262858619798397,7.314551563711554,7.36624450762471,7.36624450762471
graphcodebert,CD,wir,3.6443525458774877,18.19591625743086,22.641509433962266,23.339364176789868,23.44275006461618,23.468596536572758,23.468596536572758
graphcodebert,CD,wir_DMAP,9.485655208064099,21.995347635047814,23.029206513310932,23.132592401137245,23.132592401137245,23.132592401137245,23.132592401137245
graphcodebert,CD,rnns,0.025846471956577927,4.445593176531403,15.042646678728353,26.26001550788317,30.29206513310933,37.01214784181959,37.994313776169555
graphcodebert,CD,rnns_DMAP,0.25846471956577927,13.646937193073144,27.423106745929182,33.522874127681575,35.82321013181701,37.477384337037996,37.50323080899457
graphcodebert,DP,alert,1.8815331010452963,68.03135888501743,87.77003484320558,92.89198606271776,94.11149825783973,95.4006968641115,95.55749128919861
graphcodebert,DP,alert_DMAP,25.731707317073173,87.63066202090593,92.59581881533101,94.11149825783973,94.58188153310104,94.79094076655052,94.79094076655052
graphcodebert,DP,wir,35.47038327526133,87.29965156794425,87.87456445993031,87.89198606271778,87.89198606271778,87.89198606271778,87.89198606271778
graphcodebert,DP,wir_DMAP,58.745644599303134,85.17421602787456,85.17421602787456,85.17421602787456,85.17421602787456,85.17421602787456,85.17421602787456
graphcodebert,DP,rnns,0.08710801393728224,56.95121951219512,78.11846689895471,90.45296167247386,93.01393728222996,94.32055749128921,94.32055749128921
graphcodebert,DP,rnns_DMAP,3.7456445993031355,74.79094076655052,90.0,92.59581881533101,92.70034843205575,92.70034843205575,92.70034843205575
graphcodebert,CC,alert,15.584415584415584,32.83858998144712,36.92022263450835,39.70315398886827,39.70315398886827,40.816326530612244,41.37291280148423
graphcodebert,CC,alert_DMAP,25.04638218923933,37.105751391465674,38.961038961038966,39.332096474953616,39.332096474953616,40.25974025974026,40.25974025974026
graphcodebert,CC,wir,33.76623376623377,47.124304267161406,48.42300556586271,48.79406307977737,48.79406307977737,48.79406307977737,48.79406307977737
graphcodebert,CC,wir_DMAP,41.1873840445269,47.680890538033395,47.680890538033395,47.680890538033395,47.86641929499073,47.86641929499073,47.86641929499073
graphcodebert,CC,rnns,13.543599257884972,39.888682745825605,51.02040816326531,55.10204081632652,56.95732838589982,59.36920222634509,60.1113172541744
graphcodebert,CC,rnns_DMAP,23.00556586270872,48.79406307977737,55.65862708719852,58.070500927643785,58.8126159554731,60.48237476808905,60.48237476808905
unixcoder,VP,alert,12.44158878504673,49.29906542056075,65.59579439252336,71.61214953271028,72.60514018691589,73.18925233644859,73.24766355140187
unixcoder,VP,alert_DMAP,26.285046728971963,63.9018691588785,70.61915887850468,71.96261682242991,72.02102803738318,72.07943925233646,72.07943925233646
